"filename", "language", "C++", "Swift", "XML", "JSON", "Markdown", "YAML", "HTML", "Dart", "Properties", "Groovy", "comment", "blank", "total"
"g:\Local Disk F\Source Codes\Flutter\docare\lib\shared_preferences\logged_in_role.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 5, 7, 26
"g:\Local Disk F\Source Codes\Flutter\docare\lib\shared_preferences\screens_state_manager.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 4, 6, 23
"g:\Local Disk F\Source Codes\Flutter\docare\lib\shared_preferences\shared_pref_barrel.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"g:\Local Disk F\Source Codes\Flutter\docare\lib\shared_preferences\theme_shared_preferences.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"g:\Local Disk F\Source Codes\Flutter\docare\lib\state_management\auth_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 228, 0, 0, 39, 27, 294
"g:\Local Disk F\Source Codes\Flutter\docare\lib\state_management\bottom_narbar_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 8, 27
"g:\Local Disk F\Source Codes\Flutter\docare\lib\state_management\providers_barrel.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"g:\Local Disk F\Source Codes\Flutter\docare\lib\state_management\theme_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"g:\Local Disk F\Source Codes\Flutter\docare\lib\theme\theme_style.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 63, 4, 104
"g:\Local Disk F\Source Codes\Flutter\docare\linux\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"g:\Local Disk F\Source Codes\Flutter\docare\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"g:\Local Disk F\Source Codes\Flutter\docare\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"g:\Local Disk F\Source Codes\Flutter\docare\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"g:\Local Disk F\Source Codes\Flutter\docare\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"g:\Local Disk F\Source Codes\Flutter\docare\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 23
"g:\Local Disk F\Source Codes\Flutter\docare\macos\Runner\AppDelegate.swift", "Swift", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"g:\Local Disk F\Source Codes\Flutter\docare\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"g:\Local Disk F\Source Codes\Flutter\docare\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 0, 1, 344
"g:\Local Disk F\Source Codes\Flutter\docare\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"g:\Local Disk F\Source Codes\Flutter\docare\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 61, 18, 121
"g:\Local Disk F\Source Codes\Flutter\docare\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 16, 6, 59
"g:\Local Disk F\Source Codes\Flutter\docare\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"g:\Local Disk F\Source Codes\Flutter\docare\windows\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"g:\Local Disk F\Source Codes\Flutter\docare\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"g:\Local Disk F\Source Codes\Flutter\docare\windows\runner\flutter_window.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"g:\Local Disk F\Source Codes\Flutter\docare\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"g:\Local Disk F\Source Codes\Flutter\docare\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"g:\Local Disk F\Source Codes\Flutter\docare\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"g:\Local Disk F\Source Codes\Flutter\docare\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"g:\Local Disk F\Source Codes\Flutter\docare\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"g:\Local Disk F\Source Codes\Flutter\docare\windows\runner\win32_window.cpp", "C++", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"g:\Local Disk F\Source Codes\Flutter\docare\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 499, 48, 3740, 324, 13, 45, 37, 3770, 8, 96, 803, 657, 10040
